name,company_id,customer_id,subscription_id,mrr,arr,discount_count,currency,interval
,,cus_SLACHdyxnC2cMD,sub_1RQTsTKojVEYZPlXR5mjCeUS,199,,0.0,eur,month
,,cus_SNoxlPv1io2riU,sub_1RT3JcKojVEYZPlXs95lzyqC,447,,0.0,eur,month
,,cus_SNp0oEdHbgLCh7,sub_1RT3MtKojVEYZPlXwYxtAqzZ,349,,0.0,eur,month
,,cus_SU9Ym4Ckh817YF,sub_1RZBHPKojVEYZPlXS1cyakAV,500,,0.0,eur,month
,,cus_Sb0jZEv6xt3ctq,sub_1RfohgKojVEYZPlXualc4NPx,267,,0.0,usd,month
,,cus_SbmoziJXfWV0FW,sub_1RguxeKojVEYZPlX6tbsKQB0,299,,0.0,eur,month
,,cus_SdsrgpX3bYFPHf,sub_1Rib7XKojVEYZPlXSpSNULd3,199,,0.0,eur,month
,,cus_ShOcZA2vs2EqCi,sub_1Rm0FiKojVEYZPlXBDm77vjY,424,5089.8,0.0,eur,year
,,cus_ShjuLYIp7UuPiE,sub_1RmKQIKojVEYZPlXy8GJETNZ,89,,0.0,usd,month
,,cus_SlmtiGtB4BBrcl,sub_1RqFSSKojVEYZPlXL9Kk83Lj,169,2029.0,0.0,eur,year
,,cus_SnzAaPdWRzKz9C,sub_1Rsi6xKojVEYZPlXUEf8AT1n,299,,0.0,eur,month
,,cus_SqYmIiGPbR2zs1,sub_1RurnDKojVEYZPlXtBO9nJtE,199,,0.0,eur,month
,,cus_SYZWlcpT4DWgfk,sub_1Rzv0oKojVEYZPlXYsW0tIoS,193,2317.0,0.0,eur,year
,,cus_SwyJ0AsnLdbhRE,sub_1S14Q9KojVEYZPlX2sw4FuEf,417,5000.0,0.0,eur,year
,,cus_StdgDGr7BhGZjl,sub_1S2SHgKojVEYZPlX0EYc2Hdw,199,,0.0,eur,month
,,cus_SzFm98jG6U6KRv,sub_1S3e83KojVEYZPlXW8Fzz4MP,199,,0.0,eur,month
,,cus_Ss0pLukx75xbqE,sub_1S98ZvKojVEYZPlX4yHGPdCo,199,,0.0,eur,month
,,cus_SeGA8dSwyus7a9,sub_1SAoh6KojVEYZPlXBanJDJqX,169,2029.8,0.0,eur,year
,,cus_T7VtYRZeKr43cq,sub_1SBGuSKojVEYZPlXf9TIOwVN,2420,,0.0,eur,month
,,cus_T7sjSSMPIoigdI,sub_1SBcy7KojVEYZPlXe1aVq5z3,140,,0.0,eur,month
,,cus_T7wySch0wevxMW,sub_1SBh7kKojVEYZPlXWPrYl7cx,500,,0.0,eur,month
,,cus_SUXEgFX6dXbK6B,sub_1SD4kJKojVEYZPlXlLC6Of7K,199,,0.0,eur,month
,,cus_T62FnIQ8UbNr1U,sub_1SDLolKojVEYZPlXNIZPBcXi,2750,33000.0,0.0,eur,year
,,cus_T9fxwuGmKbobaL,sub_1SDMbtKojVEYZPlX6BEQsTsm,89,,0.0,eur,month
,,cus_TA0CPZm7MS7b8F,sub_1SDgDpKojVEYZPlX1JhYjyR7,445,,0.0,eur,month
,,cus_TABA0IqUcxjUs1,sub_1SDqoiKojVEYZPlXWdodo2C3,199,,0.0,eur,month
,,cus_T76zuzkbchxe5E,sub_1SE9n1KojVEYZPlXWGJePAPR,99,,0.0,usd,month
,,cus_T7xehvz8aqOOm6,sub_1SEAq9KojVEYZPlXYJJNWbms,199,,0.0,eur,month
,,cus_TB7NZQAWFGjvFG,sub_1SEl8PKojVEYZPlX49vCNikY,326,3910.0,0.0,eur,year
,,cus_TEDYiCkJLLfnc6,sub_1SHl7kKojVEYZPlXrISQpH8f,199,,0.0,eur,month
,,cus_TEODRoU1h4sczL,sub_1SHvVSKojVEYZPlXFSdRoEFO,2625,,0.0,eur,month
,,cus_TEzA2588bAscFW,sub_1SIVDTKojVEYZPlXlysmCHGg,150,,0.0,eur,month
,,cus_T9doM65fiOX2b0,sub_1SIahvKojVEYZPlXh0peEidP,75,900.0,0.0,eur,year
,,cus_SrO6v203UP2Cn7,sub_1SKkjKKojVEYZPlX7OGVdNdB,199,,0.0,eur,month
,,cus_THVYoRSm7hpdxT,sub_1SKwXgKojVEYZPlXd3LLLmwe,199,,0.0,eur,month
,,cus_TJ9hGFYPsEVySx,sub_1SMXXfKojVEYZPlXnvplcsEv,499,,0.0,eur,month
,,cus_TJWXpXxQ73fFk1,sub_1SMtyqKojVEYZPlXpDLPZSk7,443,,0.0,eur,month
,,cus_TJxLetjVm2EAZN,sub_1SNWrHKojVEYZPlXWHT4HDpP,169,2029.0,0.0,eur,year
